timestamp,game_version,age_group,gender,income,stock_market,financial_knowledge,raw_score,standard_score,risk_group,question_1_answer,question_2_answer,question_3_answer,question_4_answer,question_5_answer,question_6_answer,question_7_answer,question_8_answer,question_9_answer,question_10_answer,question_11_answer,question_12_answer,question_13_answer,question_14_answer,question_15_answer
2025-06-10 00:52:37,dog,25+,prefer_not_to_say,3m-5m,once_twice,low,21,15.0,1,c,c,b,b,b,a,a,a,a,a,a,a,a,a,a
2025-06-10 01:02:06,dog,23-25,prefer_not_to_say,3m-5m,occasionally,moderate,32,42.5,3,c,b,b,b,b,c,b,a,b,c,b,b,a,b,b
2025-06-10 01:03:39,dog,25+,female,5m-10m,once_twice,low,34,47.5,4,a,b,c,a,b,b,b,c,c,b,c,a,b,a,c
2025-06-10 01:11:02,cat,21-22,female,10m-20m,once_twice,low,33,45.0,4,c,c,b,b,b,c,b,b,b,b,b,b,c,a,b
2025-06-10 01:16:05,dog,21-22,female,>20m,occasionally,low,55,100.0,7,a,d,d,d,d,d,c,c,d,d,c,b,d,b,d
2025-06-10 01:57:22,dog,21-22,female,3m-5m,once_twice,low,32,42.5,3,b,a,c,c,c,c,b,b,c,b,a,a,b,a,b
2025-06-10 09:08:56,dog,18-20,female,<3m,none,very_low,33,45.0,4,a,c,a,a,d,c,b,b,c,a,c,a,a,b,a
2025-06-10 09:12:23,dog,18-20,prefer_not_to_say,5m-10m,none,low,25,25.0,2,d,a,c,b,c,c,a,a,a,b,b,a,b,a,a
2025-06-10 09:21:18,cat,18-20,female,3m-5m,once_twice,low,21,15.0,1,a,a,a,a,a,a,a,a,b,a,a,a,b,a,b
2025-06-10 09:30:41,cat,18-20,female,<3m,none,very_low,50,87.5,7,d,d,d,d,d,d,c,c,d,d,c,b,d,b,b
2025-06-10 09:40:16,dog,18-20,female,<3m,none,very_low,27,30.0,2,a,b,a,a,d,a,b,a,a,a,a,b,a,b,a
2025-06-10 10:03:27,cat,18-20,female,3m-5m,occasionally,low,29,35.0,3,b,b,c,c,c,a,a,b,b,a,c,a,a,a,b
2025-06-10 10:08:40,cat,23-25,female,3m-5m,actively,very_low,37,55.00000000000001,5,a,b,d,b,d,a,c,a,d,a,b,a,d,b,a
2025-06-10 10:35:36,dog,25+,prefer_not_to_say,<3m,actively,low,44,72.5,6,a,d,d,c,d,b,c,a,c,d,a,b,a,b,d
2025-06-10 10:40:47,dog,18-20,male,10m-20m,regularly,very_high,34,47.5,4,a,b,d,b,d,b,b,a,b,a,a,b,a,b,b
2025-06-10 10:45:02,cat,18-20,female,5m-10m,actively,high,38,57.49999999999999,5,a,d,c,b,d,a,a,c,b,d,b,b,a,b,a
2025-06-10 10:46:02,cat,18-20,female,5m-10m,actively,high,38,57.49999999999999,5,a,d,c,b,d,a,a,c,b,d,b,b,a,b,a
2025-06-10 10:47:07,cat,18-20,female,5m-10m,actively,high,38,57.49999999999999,5,a,d,c,b,d,a,a,c,b,d,b,b,a,b,a
2025-06-10 10:50:03,cat,18-20,female,5m-10m,actively,high,38,57.49999999999999,5,a,d,c,b,d,a,a,c,b,d,b,b,a,b,a
2025-06-10 10:54:04,cat,18-20,female,5m-10m,actively,high,38,57.49999999999999,5,a,d,c,b,d,a,a,c,b,d,b,b,a,b,a
2025-06-10 10:54:07,cat,18-20,female,5m-10m,actively,high,38,57.49999999999999,5,a,d,c,b,d,a,a,c,b,d,b,b,a,b,a
2025-06-10 10:54:11,cat,18-20,female,5m-10m,actively,high,38,57.49999999999999,5,a,d,c,b,d,a,a,c,b,d,b,b,a,b,a
2025-06-10 10:54:17,cat,18-20,female,5m-10m,actively,high,38,57.49999999999999,5,a,d,c,b,d,a,a,c,b,d,b,b,a,b,a
2025-06-10 10:56:03,cat,18-20,female,5m-10m,actively,high,38,57.49999999999999,5,a,d,c,b,d,a,a,c,b,d,b,b,a,b,a
2025-06-10 10:57:33,cat,18-20,female,5m-10m,actively,high,38,57.49999999999999,5,a,d,c,b,d,a,a,c,b,d,b,b,a,b,a
2025-06-10 10:59:14,cat,25+,prefer_not_to_say,10m-20m,occasionally,high,32,42.5,3,d,c,c,a,d,a,b,a,a,a,b,b,d,b,b
2025-06-10 11:01:38,cat,21-22,female,<3m,none,high,34,47.5,4,c,d,d,b,c,d,b,c,d,a,a,a,a,a,a
2025-06-10 11:03:47,cat,18-20,female,3m-5m,once_twice,very_low,35,50.0,4,a,b,c,b,c,d,b,a,b,a,b,b,a,b,b
2025-06-10 11:03:50,cat,18-20,female,3m-5m,once_twice,very_low,35,50.0,4,a,b,c,b,c,d,b,a,b,a,b,b,a,b,b
2025-06-10 11:03:53,cat,18-20,female,3m-5m,once_twice,very_low,35,50.0,4,a,b,c,b,c,d,b,a,b,a,b,b,a,b,b
2025-06-10 13:16:31,cat,18-20,prefer_not_to_say,<3m,occasionally,moderate,50,87.5,7,a,d,c,d,d,d,c,c,d,c,c,b,a,b,d
2025-06-10 13:22:15,cat,18-20,female,<3m,none,very_low,34,47.5,4,b,c,d,b,d,a,a,a,a,d,a,b,d,a,a
2025-06-10 13:43:12,dog,18-20,prefer_not_to_say,3m-5m,none,moderate,24,22.5,1,a,a,a,a,a,a,c,a,a,a,c,a,a,b,a
2025-06-10 13:48:01,cat,21-22,prefer_not_to_say,3m-5m,actively,very_low,37,55.00000000000001,5,a,a,c,b,a,d,a,c,d,a,a,a,d,b,d
2025-06-10 13:51:36,cat,21-22,prefer_not_to_say,5m-10m,actively,high,53,95.0,7,c,d,d,d,d,d,c,c,d,d,c,b,d,b,d
2025-06-10 13:59:37,cat,23-25,prefer_not_to_say,3m-5m,regularly,low,44,72.5,6,b,b,d,c,d,c,a,b,d,d,c,b,a,b,d
2025-06-10 14:03:29,cat,18-20,prefer_not_to_say,3m-5m,regularly,low,35,50.0,4,a,a,a,a,d,b,c,b,b,d,b,b,a,a,d
2025-06-10 14:11:18,cat,18-20,female,<3m,occasionally,very_low,34,47.5,4,d,c,d,c,d,d,c,a,a,c,a,b,a,a,a
2025-06-10 14:27:03,cat,18-20,male,3m-5m,occasionally,moderate,35,50.0,4,c,a,d,a,c,d,c,c,d,c,a,b,a,a,a
2025-06-10 14:29:39,cat,18-20,male,3m-5m,occasionally,moderate,35,50.0,4,c,a,d,a,c,d,c,c,d,c,a,b,a,a,a
2025-06-10 14:39:29,cat,18-20,female,10m-20m,occasionally,high,42,67.5,6,c,a,d,c,c,c,c,b,d,b,a,b,d,b,d
2025-06-10 14:50:06,dog,18-20,male,3m-5m,occasionally,high,24,22.5,1,a,a,c,a,d,a,b,a,a,a,a,a,a,a,a
2025-06-10 14:59:36,dog,21-22,male,3m-5m,occasionally,very_low,30,37.5,3,a,a,c,a,d,a,c,a,b,a,a,b,a,b,a
2025-06-10 15:06:51,dog,25+,male,<3m,none,very_low,22,17.5,1,d,b,b,a,b,b,c,a,b,a,a,a,a,a,a
